product_id,category,product_name,unit_price,seller_id,,,,,
PROD129,Books,The Great Gatsby,349,SEL146,,,,,
PROD130,Books,Atomic Habits,599,SEL153,,,,,
PROD131,Books,The Psychology of Money,499,SEL102,,,,,
PROD132,Books,Ikigai,399,SEL121,,,,,
PROD133,Books,The Alchemist,299,SEL102,,,,,
PROD134,Books,Rich Dad Poor Dad,450,SEL103,,,,,
PROD135,Books,Think and Grow Rich,350,SEL106,,,,,
PROD136,Books,The Silent Patient,499,SEL108,,,,,
PROD137,Books,Harry Potter and the Philosopher's Stone,599,SEL142,,,,,
PROD138,Books,Sapiens,799,SEL129,,,,,
PROD139,Books,The Hobbit,499,SEL126,,,,,
PROD140,Electronics,iPhone 15,"69,999",SEL144,,,,,
PROD141,Electronics,Samsung Galaxy S24,"64,999",SEL136,,,,,
PROD142,Electronics,OnePlus 12,"59,999",SEL105,,,,,
PROD143,Electronics,MacBook Air M2,"89,999",SEL123,,,,,
PROD144,Electronics,Dell Inspiron 15,"58,499",SEL119,,,,,
PROD145,Electronics,HP Pavilion 14,"62,990",SEL142,,,,,
PROD146,Electronics,Apple iPad 10th Gen,"34,999",SEL140,,,,,
PROD147,Electronics,Sony WH-1000XM5 Headphones,"29,990",SEL142,,,,,
PROD148,Electronics,JBL Bluetooth Speaker,"6,499",SEL128,,,,,
PROD149,Electronics,Logitech Wireless Mouse,"1,499",SEL102,,,,,
PROD150,Electronics,OnePlus 13R,42999,SEL115,,,,,
PROD151,Electronics,Google Pixel 9a,49999,SEL149,,,,,
PROD152,Electronics,Xiaomi 14 Civi,39999,SEL130,,,,,
PROD153,Electronics,Lenovo IdeaPad Slim 5,62990,SEL101,,,,,
PROD154,Electronics,HP Pavilion 14,71990,SEL124,,,,,
PROD155,Electronics,Samsung Galaxy Tab S9 FE,34999,SEL104,,,,,
PROD156,Electronics,Sony WH-1000XM5 Headphones,29990,SEL138,,,,,
PROD157,Electronics,JBL Charge 5 Speaker,14999,SEL147,,,,,
PROD158,Electronics,Logitech MX Master 3S,8995,SEL145,,,,,
PROD159,Electronics,Anker 65W Charger,4499,SEL142,,,,,
PROD160,Home & Kitchen,Philips Air Fryer,"5,999",SEL153,,,,,
PROD161,Home & Kitchen,Prestige Electric Kettle,"1,499",SEL145,,,,,
PROD162,Home & Kitchen,Wonderchef Mixer Grinder,"3,299",SEL151,,,,,
PROD163,Home & Kitchen,Stainless Steel Cookware Set,"4,999",SEL145,,,,,
PROD164,Home & Kitchen,Philips Dry Iron,"1,199",SEL102,,,,,
PROD165,Home & Kitchen,Bajaj Steam Iron,"1,799",SEL120,,,,,
PROD166,Home & Kitchen,Microwave Oven,"9,499",SEL104,,,,,
PROD167,Home & Kitchen,Coffee Maker,"3,499",SEL101,,,,,
PROD168,Home & Kitchen,Non-Stick Frying Pan,"1,299",SEL143,,,,,
PROD169,Home & Kitchen,Memory Foam Pillow,"1,899",SEL117,,,,,
PROD170,Home & Kitchen,Prestige 3L Pressure Cooker,2499,SEL125,,,,,
PROD171,Home & Kitchen,Philips Air Fryer,6999,SEL147,,,,,
PROD172,Home & Kitchen,Bajaj Mixer Grinder,3999,SEL127,,,,,
PROD173,Home & Kitchen,Milton Thermosteel Flask,1299,SEL139,,,,,
PROD174,Home & Kitchen,Cello Water Bottle Set,899,SEL116,,,,,
PROD175,Home & Kitchen,IKEA Study Lamp,1499,SEL106,,,,,
PROD176,Home & Kitchen,Butterfly Gas Stove,3499,SEL108,,,,,
PROD177,Home & Kitchen,Wakefit Memory Foam Pillow,1599,SEL129,,,,,
PROD178,Home & Kitchen,AmazonBasics Bedsheet Set,1299,SEL151,,,,,
PROD179,Home & Kitchen,Pigeon Electric Kettle,1799,SEL104,,,,,
PROD180,Sports,Cricket Bat,"2,499",SEL122,,,,,
PROD181,Sports,Football,"1,299",SEL118,,,,,
PROD182,Sports,Badminton Racket,"1,899",SEL114,,,,,
PROD183,Sports,Yoga Mat,999,SEL108,,,,,
PROD184,Sports,Dumbbell Set,"2,999",SEL108,,,,,
PROD185,Sports,Basketball,"1,499",SEL125,,,,,
PROD186,Sports,Tennis Racket,"3,499",SEL102,,,,,
PROD187,Sports,Running Shoes,"4,999",SEL149,,,,,
PROD188,Sports,Skipping Rope,499,SEL112,,,,,
PROD189,Sports,Resistance Bands Set,899,SEL144,,,,,
PROD190,Sports,Yonex Badminton Racket,2499,SEL141,,,,,
PROD191,Sports,Adidas Football,1999,SEL112,,,,,
PROD192,Sports,SG Cricket Bat,4999,SEL149,,,,,
PROD193,Sports,Nivia Basketball,1499,SEL126,,,,,
PROD194,Sports,Cosco Volleyball,999,SEL127,,,,,
PROD195,Sports,Puma Training Shoes,4499,SEL101,,,,,
PROD196,Sports,Decathlon Yoga Mat,899,SEL135,,,,,
PROD197,Sports,Adjustable Dumbbell Set,5999,SEL119,,,,,
PROD198,Sports,Wilson Tennis Racket,6999,SEL142,,,,,
PROD199,Sports,Speedo Swimming Goggles,1299,SEL150,,,,,
PROD200,Toys,LEGO Classic Building Set,"2,499",SEL109,,,,,
PROD201,Toys,Hot Wheels Car Pack,799,SEL106,,,,,
PROD202,Toys,Barbie Fashion Doll,"1,499",SEL122,,,,,
PROD203,Toys,Monopoly Board Game,"1,999",SEL154,,,,,
PROD204,Toys,Remote Control Car,"2,299",SEL139,,,,,
PROD205,Toys,Rubik's Cube,399,SEL124,,,,,
PROD206,Toys,Chess Board Set,699,SEL105,,,,,
PROD207,Toys,Building Blocks Set,"1,299",SEL133,,,,,
PROD208,Toys,Teddy Bear,899,SEL134,,,,,
PROD209,Toys,Nerf Blaster,"1,799",SEL149,,,,,
PROD210,Toys,LEGO Classic Building Set,2499,SEL111,,,,,
PROD211,Toys,Hot Wheels Track Set,1799,SEL115,,,,,
PROD212,Toys,Barbie Dreamhouse,5499,SEL147,,,,,
PROD213,Toys,Nerf Blaster,1999,SEL102,,,,,
PROD214,Toys,Rubik's 3x3 Cube,499,SEL120,,,,,
PROD215,Toys,Monopoly Board Game,1799,SEL134,,,,,
PROD216,Toys,Remote Control Car,2299,SEL146,,,,,
PROD217,Toys,Wooden Building Blocks,999,SEL154,,,,,
PROD218,Toys,UNO Card Game,299,SEL112,,,,,
PROD219,Toys,Play-Doh Creative Set,799,SEL138,,,,,
